env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,0,6058.044288217934,2.9062464203834533,529.6273193359375,8656.330591308593
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,1,5954.803854433938,2.8547969999313354,521.3524169921875,8490.877890625
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,2,6049.743593270257,2.88230183494091,523.100341796875,8427.38898486328
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,3,3598.636419003015,2.819554446546197,544.4776000976562,8488.1423828125
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,4,3185.137713607829,2.9313799113319035,531.0400390625,8546.164379882812
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,5,5987.0374896912845,2.875204057574272,530.8479614257812,8385.557317382812
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,6,5985.59490828525,2.900695180654526,533.0961303710938,8620.604412109375
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,7,6144.99337742622,2.90792542886734,532.0748901367188,8508.932431152343
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,8,6012.2267697121215,2.900808912038803,525.9129028320312,8396.290859863282
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,9,6004.810237350305,2.8871176912784575,589.10009765625,8325.854286132813
